,Posição,Clube,Estado,Faturamento,Deficit ou Superavit,Ano
0,1,São Paulo,São Paulo,"R$ 190,0 Milhões[114][115][116]","R$ 3,8 Milhões[114]",2007
1,2,Internacional,Rio Grande do Sul,"R$ 155,8 Milhões[114][115][116]","R$ 18,9 Milhões[114]",2007
2,3,Corinthians,São Paulo,"R$ 134,6 Milhões[114][115][116]","R$ -23,2 Milhões [114]",2007
3,4,Grêmio,Rio Grande do Sul,"R$ 109,0 Milhões[114][116]","R$ 14,6 Milhões[114]",2007
4,5,Flamengo,Rio de Janeiro,"R$ 89,4 Milhões[114][115][116]","R$ -59,2 Milhões[114]",2007
5,6,Palmeiras,São Paulo,"R$ 86,2 Milhões[114][115][116]","R$ -24,1 Milhões[114]",2007
6,7,Cruzeiro,Minas Gerais,"R$ 77,6 Milhões[114][115][116]","R$ -2,8 Milhões[114]",2007
7,8,Atlético Mineiro,Minas Gerais,"R$ 58,3 Milhões[114][116]","R$ -27,5 Milhões[114]",2007
9,10,Santos,São Paulo,"R$ 53,1 Milhões[114][115][116]","R$ -36,6 Milhões[114]",2007
10,11,Vasco,Rio de Janeiro,"R$ 51,0 Milhões[114][116]","R$ -9,2 Milhões[114]",2007
11,12,Botafogo,Rio de Janeiro,"R$ 41,1 Milhões[114]","R$ -3,7 Milhões[114]",2007
13,14,Fluminense,Rio de Janeiro,"R$ 39,3 Milhões[114]","R$ -139,4 Milhões[114]",2007
